"SiteCode","SurveyID","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qn"
"ACEH21",62003107,149,63,86,1602,10.7517,0.2957,17.6279,12.3031,24.0635,19.3047,0.00303486368434312,0.449159825282782,92.8993288590604,0.0176279561402392,68.2912526978415,30.7474726783705,0.20189917920371
"ACEH22",62003108,127,64,63,1028,8.0945,0.255,15.3175,12.2182,15.0781,14.0354,0.00348989598640675,0.439726894287251,82.1181102362205,0.0210235817297031,70.0011633309077,40.9412225338129,0.227794571666354
"ACEH3",62003089,118,64,54,903,7.6525,0.2613,15.7222,13.2115,13.2656,11.0213,0.00378093605742326,0.442369518718521,75.4322033898305,0.0225912558819498,67.5632794944678,37.8811955673662,0.243802380962291
"ACEH4",62003090,114,64,50,844,7.4035,0.2638,15.88,12.1044,12.4062,11.4375,0.00393955548128002,0.445169769384642,71.9385964912281,0.0233037241630153,69.6121789314527,37.4434273499905,0.247726969906541
"ACEH7",62003094,110,64,46,864,7.8545,0.2935,17.7826,12.896,12.7812,11.1775,0.00415900261068668,0.453331284564848,67.2454545454545,0.0237197370530704,75.743926486025,41.7903771082259,0.21563267794908
"ACEH8",62003095,120,64,56,993,8.275,0.2771,16.7321,13.3301,14.6406,12.328,0.00374852025408409,0.446073910236007,75.7,0.0218470418470418,73.4922662225497,38.4561615640319,0.216672798242307
"AH1",912345962,114,64,50,1039,9.114,0.3247,19.78,13.4882,15.4531,12.8705,0.00409150618441166,0.462340198838518,67.3245614035088,0.021809057791872,75.0232111196336,45.7659603039399,0.239824111740776
"AH2",912345963,117,62,55,1074,9.1795,0.315,18.5273,11.3004,16.4355,15.0525,0.00386313845447135,0.448124060718677,73.8803418803419,0.0224287619551736,74.0645303127383,41.0464914069405,0.198744945158765
"AH3",912345964,94,51,43,679,7.2234,0.3096,14.7907,7.9868,12.4706,11.6092,0.00464061047257772,0.431576773949728,63.8510638297872,0.0304052684903749,63.9038123524714,36.1187820596763,0.197959930382501
"AH4",912345965,87,54,33,559,6.4253,0.3137,15.9394,8.4777,9.7407,8.5411,0.00491792500848767,0.42294155072994,61.1379310344828,0.0360483083929733,57.6952621087167,32.6840115869582,0.213701224537004
"AH5",912345966,109,62,47,781,7.1651,0.268,15.617,12.3298,11.8387,10.4681,0.00410515480025198,0.443356718427214,69.4495412844037,0.0247503710920897,71.5997578954531,41.7927685187711,0.241576891951088
"AL10",912344540,98,62,36,597,6.0918,0.2675,15.5833,11.1314,9.0484,8.4629,0.00449554787657605,0.436068144027877,64.4795918367347,0.0302012139750514,67.8490058556197,42.6490755917604,0.212836131049405
"AL4",912344532,96,62,34,623,6.4896,0.2955,17.3235,14.3415,9.5,6.8563,0.00477842361223018,0.453950243161867,58.5416666666667,0.0290818016227852,69.9027734891803,42.8333257102993,0.239656867125369
"AL6",912344536,106,63,43,701,6.6132,0.2588,15.3023,12.003,10.4444,9.6114,0.00407148309102361,0.427505724557479,72.7169811320755,0.0279251079616265,68.4690849569517,38.1455513627657,0.224191849668795
"AL7",912344538,101,63,38,632,6.2574,0.264,15.6316,13.6152,9.4286,7.0039,0.00443735214562535,0.443735214562535,64.0792079207921,0.0279333949088021,66.1254649999705,40.7855023835556,0.258581890736772
"BA10",912345981,114,63,51,1069,9.3772,0.3327,19.9608,12.9984,16.1587,13.1826,0.00404639236261394,0.457242336975375,69.0701754385965,0.022280701754386,74.7932466220131,47.2905086212653,0.217291117449755
"BA11",912345982,82,62,20,480,5.8537,0.3871,23,16,7.4194,5.562,0.00589179478319241,0.477235377438585,45.719512195122,0.0394473789431596,85.8730240995659,59.2429056357806,0.207221172022684
"BA2",912345977,132,64,68,1369,10.3712,0.3146,19.1324,15.3311,20.3281,15.171,0.00348557426068799,0.456610228150127,80.0606060606061,0.0189672129970637,75.5705823596388,38.8931751709056,0.222529704283526
"BA3",912345978,118,64,54,1034,8.7627,0.2992,18.1481,14.606,15.3125,12.2926,0.00387371620790759,0.453224796325188,72.4491525423729,0.0216978594017289,77.3816664600821,41.6120978232138,0.224031653477717
"BA4",912346035,110,63,47,873,7.9364,0.2948,17.5745,11.7967,13.1111,11.3281,0.00412888530042052,0.450048497745837,68.1272727272727,0.0238875430320031,67.6789192795165,40.1439437111789,0.231860713259736
"BA5",912346037,130,64,66,1267,9.7462,0.3,18.197,13.3177,18.7656,15.7215,0.00351766744935418,0.453779100966689,79.5,0.0194139194139194,74.780376599038,40.1449907680885,0.22040056821924
"BA6",912346039,120,64,56,938,7.8167,0.2617,15.75,12.8038,13.7812,12.1831,0.00372047505363542,0.442736531382615,76.6166666666667,0.0221115921115921,71.5748287819007,39.9780748410127,0.22867143834102
"BA7",912346041,111,63,48,921,8.2973,0.3046,18.1875,14.119,13.8571,11.4805,0.00413161642459378,0.454477806705316,67.7927927927928,0.0232645136557285,77.4449307496735,45.5955458840663,0.225593042647635
"BA8",912345979,87,61,26,582,6.6897,0.367,21.3846,15.0362,9.1148,7.1882,0.00554284306090876,0.476684503238153,48.5632183908046,0.0323754789272031,85.9787943805385,58.6462208957608,0.226605765747115
"BOCAS1",912344726,68,47,21,262,3.8529,0.2655,11.4762,6.4778,5.1277,4.2304,0.00585388538897635,0.392210321061416,53.9264705882353,0.0586157289002558,45.4020655394989,26.9060296348194,0.291093472908524
"BOCAS10",912344735,57,40,17,181,3.1754,0.2662,9.6471,6.4318,4.1,3.1849,0.00686994375488199,0.384716850273391,46.7368421052632,0.0748987854251012,47.6023433390824,28.0700603981172,0.330383700178465
"BOCAS11",912344736,46,38,8,104,2.2609,0.3421,12,9.5768,2.5263,1.8561,0.00944424283203626,0.424990927441632,32.0217391304348,0.123636058418667,59.3139995739175,41.1790428753493,0.339192708333333
"BOCAS12",912344744,69,49,20,261,3.7826,0.2663,12.05,7.2727,4.9184,3.9308,0.00574665337863737,0.390772429747341,55.2463768115942,0.0605771675565726,45.4884019881113,26.3758500325118,0.275529002599818
"BOCAS13",912344737,58,43,15,168,2.8966,0.2605,10.2,6.1319,3.5581,3.1495,0.00671832451781403,0.3829444975154,47.9310344827586,0.0815153647665963,45.3656144615966,25.6105187801616,0.313939083258576
"BOCAS2",912344727,46,35,11,105,2.2826,0.2727,8.5455,5.9894,2.6857,2.1526,0.00852873383738031,0.383793022682114,37.695652173913,0.110869565217391,46.6724653551577,27.0934347703578,0.363286555002263
"BOCAS3",912344729,56,42,14,140,2.5,0.2381,9,7.2004,3,2.5279,0.00695397198065333,0.382468458935933,46.2142857142857,0.0867059769498794,48.1608794450181,30.1114988536207,0.357142857142857
"BOCAS4",912344739,55,43,12,147,2.6727,0.2849,11.25,7.1367,3.1395,2.6239,0.00714211677513315,0.38567430585719,45.0727272727273,0.0975600157418339,48.2848227623769,30.292809901943,0.313909465020576
"BOCAS5",912344730,45,34,11,102,2.2667,0.2727,8.2727,5.5153,2.6765,2.1137,0.00859904855060187,0.378358136226482,37.7777777777778,0.114478114478114,43.6490160272628,27.2455088201841,0.380992633739887
"BOCAS6",912344740,65,44,21,212,3.2615,0.2294,9.0952,5.8814,4.3409,3.6723,0.00587332068409908,0.375892523782341,55.0769230769231,0.0640429338103757,40.5203981752806,23.661647728473,0.349771113730435
"BOCAS7",912344732,67,45,22,243,3.6269,0.2455,10.0455,6.1835,4.9111,4.3892,0.00577378492405858,0.381069804987866,55.955223880597,0.0605576016023777,43.2184952171583,23.9079892956898,0.298273991114023
"BOCAS8",912344733,59,41,18,181,3.0678,0.2453,9.0556,6.1018,3.9756,3.5248,0.00664709353301087,0.385531424914631,48.1186440677966,0.0707627118644068,47.5815974878154,26.5455762976318,0.335993074635854
"BOCAS9",912344743,58,41,17,198,3.4138,0.2841,10.6471,7.7374,4.4146,3.3983,0.00706197773974551,0.402532731165494,44.3448275862069,0.0692887931034483,51.8710604249307,27.2056639316054,0.27929550380025
"BRA1",912341789,64,47,17,227,3.5469,0.2841,12.3529,9.9495,4.4681,3.236,0.00650164056382072,0.409603355520706,47.390625,0.0643894361413044,56.732848202651,35.9148954229069,0.239659863945578
"BRA10",912341791,65,48,17,222,3.4154,0.2721,12.0588,8.828,4.2708,2.9008,0.00625974779189536,0.400623858681303,49.7538461538462,0.0661620294599018,50.3577753118892,30.6221762151351,0.311481261154075
"BRA2",912341793,59,44,15,197,3.339,0.2985,12.1333,9.1797,4.1364,2.8497,0.00707184142990298,0.410166802934373,43.5762711864407,0.0723858325356157,56.8934499267515,39.9476122513706,0.277623475425673
"BRA3",912341795,76,54,22,310,4.0789,0.2609,13.0909,8.6018,5.3333,4.3088,0.00531763101911262,0.398822326433446,58.7894736842105,0.0528207310729654,50.4400009002897,31.2089813515806,0.277078510802469
"BRA4",912341797,62,47,15,213,3.4355,0.3021,13.2,10.7051,4.2128,2.75,0.00680848037313457,0.415317302761209,44.8709677419355,0.069675415748347,57.5095567099623,36.4490731615521,0.271936537088052
"BRA5",912341799,75,50,25,328,4.3733,0.2624,12.12,9.8333,6.06,4.4328,0.00547507763140744,0.405155744724151,56.6533333333333,0.0481746031746032,51.6051345616467,31.2551226126636,0.249931923885457
"BRA6",912341801,68,50,18,271,3.9853,0.3011,14.0556,9.1618,5.06,3.6945,0.00604577829034059,0.40506714545282,51.5,0.0618247298919568,52.201518258122,32.935656237543,0.257041978471777
"BRA7",912341803,64,46,18,241,3.7656,0.2911,12.3889,8.9122,4.8478,3.3398,0.00652673107317953,0.41118405761031,46.96875,0.0613970588235294,53.0967617695311,31.145186837106,0.278951919403165
"BRA8",912341807,60,44,16,219,3.65,0.3111,12.6875,9.1485,4.6136,3.0819,0.00707244426120071,0.417274211410842,43.0666666666667,0.0667700258397933,55.5706869914187,33.8315501120379,0.272853017544711
"BRA9",912341809,67,47,20,276,4.1194,0.2936,12.8,8.489,5.4468,3.682,0.00621285018961535,0.410048112514613,49.3880597014925,0.0565080774616619,50.149541857449,30.3336123401033,0.282257080078125
"BZE1",912346723,58,40,18,202,3.4828,0.2806,10.2222,6.025,4.6,3.5648,0.00698576194057771,0.398188430612929,44.7413793103448,0.0674832267124356,48.0763024672614,28.0437360662441,0.319706994328922
"BZE2",912346738,70,46,24,327,4.6714,0.2962,12.625,6.8322,6.587,5.0225,0.00601721915992569,0.415188122034872,50.3571428571429,0.0486542443064182,50.7368587500503,28.654398984154,0.271509329150737
"BZE3",912346739,74,45,29,293,3.9595,0.2245,9.1034,6.4162,5.8667,5.0344,0.00532014787987235,0.388370795230681,59.5945945945946,0.0483722358722359,43.6733911560096,24.0077835565468,0.335227272727272
"BZE4",912346741,79,52,27,315,3.9873,0.2244,10.6667,8.0336,5.5385,4.8526,0.00509959830012787,0.397768667409974,61.126582278481,0.0460984783397293,50.6302190011282,33.0569387010774,0.321132330246914
"BZE6",912346745,67,46,21,256,3.8209,0.265,11.1905,6.0218,5.1087,4.4782,0.00588505385663309,0.388413554537784,54.0746268656716,0.0600829187396352,45.9583099395289,26.5702782269047,0.293598913535537
"CAR10",1003651,78,49,29,295,3.7821,0.2076,9.1724,6.8195,5.4286,4.7126,0.00493088194376787,0.379677909670126,65.1025641025641,0.0484394078144078,42.7461041649444,24.9779930744086,0.332212109220419
"CAR12",1003659,64,46,18,212,3.3125,0.256,10.7778,9.729,4.2174,3.0834,0.00662649730263327,0.417469330065896,45.625,0.059640522875817,58.0602558252836,36.6475507320229,0.277128281432671
"CAR13",1003664,76,52,24,290,3.8158,0.2324,11.0833,8.8314,5.1154,4.2179,0.00524164757069636,0.393123567802227,60.3947368421053,0.051487414187643,50.1434314300584,32.2226628153044,0.308369608231104
"CAR15",1003666,79,50,29,335,4.2405,0.231,10.5517,8.0604,6.12,5.1255,0.00515882292016907,0.402388187773188,59.9113924050633,0.0436671956305126,49.5771395538248,29.0677958077016,0.303900209321201
"CAR16",1003672,73,48,25,256,3.5068,0.2133,9.24,6.3461,4.8125,4.2459,0.00520237229745476,0.374570805416743,62.3287671232877,0.0552559992227728,40.6229900906336,20.7937534210559,0.329435355409381
"CAR17",1003670,71,43,28,267,3.7606,0.2218,8.5357,5.6926,5.5581,4.5214,0.00550057427942356,0.385040199559649,57.7323943661972,0.0509104006756589,39.7679993507587,21.3205645729065,0.333695138390434
"CAR18",1003678,73,47,26,280,3.8356,0.2291,9.7692,6.6291,5.4043,4.7166,0.00527965340553566,0.380135045198568,61.0958904109589,0.0531268612269208,44.5040701890547,25.79260519276,0.324090148180296
"CAR19",1003684,80,47,33,383,4.7875,0.2469,10.6061,6.8417,7.4468,5.919,0.0050438607915318,0.398465002531012,61.7125,0.0419242527173913,45.8562101109657,25.4773498660246,0.282579591836734
"CAR20",1003683,76,49,27,321,4.2237,0.2426,10.8889,7.6678,6,4.9497,0.00526905561728132,0.395179171296099,59.5131578947368,0.0476868252361673,49.5115076315238,28.4751103684422,0.29014530982461
"CAR21",1003689,75,48,27,283,3.7733,0.2184,9.4815,6.5007,5.3333,4.8437,0.00512047793969881,0.378915367537712,63.08,0.051620294599018,42.0639216464595,24.6594074468135,0.325332641601562
"CAR22",1003688,84,50,34,379,4.5119,0.2229,10.1471,8.1059,6.9,6.112,0.00485286899835842,0.402788126863749,63.5952380952381,0.0393291515740495,52.4336779695036,31.746404240619,0.297332493173703
"CAR24",1003694,67,44,23,268,4,0.2648,10.6522,7.0942,5.5682,4.4534,0.00607023612750322,0.400635584415213,51.3582089552239,0.0542898614748667,50.7472969338249,29.0418264896997,0.301940857975843
"CAR25",1003692,64,42,22,238,3.7188,0.2576,9.8182,6.0995,5.1429,4.3256,0.00613543340799238,0.38653230470352,52.21875,0.0606489547038328,43.563222745915,26.2719967252934,0.30411951303155
"CAR26",1003696,71,49,22,284,4,0.2635,11.9091,9.4713,5.3469,4.191,0.00605867410017125,0.424107187011988,49.1971830985916,0.0488067292644757,57.6972704504687,38.5497547544456,0.267845696637725
"CAR4",1003637,70,45,25,251,3.5857,0.2231,9.04,6.4838,5.0222,4.3248,0.00556890500745445,0.384254445514357,57.4,0.0543560606060606,44.0927300330515,23.190586652796,0.305583835852455
"CAR5",1003641,61,42,19,187,3.0656,0.2343,8.8421,6.3532,4,3.2685,0.00628019707177274,0.376811824306364,51.5737704918033,0.0698831578479719,42.4476808135751,23.7369903475837,0.344033446712018
"CAR6",1003640,74,50,24,252,3.4054,0.21,9.5,8.0865,4.56,4.1853,0.00536867452231236,0.391913240128802,58.6351351351351,0.0520276265617881,49.6876650412271,31.1040150238373,0.343509541397353
"CAR7",1003648,73,47,26,291,3.9863,0.2381,10.1923,6.2993,5.6383,5.0623,0.00539710453687513,0.388591526655009,58.7123287671233,0.0510541989279333,44.6151737838433,26.3076522747372,0.31498754004984
"CAR8",1003646,84,49,35,389,4.631,0.2268,10.1143,7.7032,7.2245,5.7817,0.00481339819544291,0.399512050221762,64.4404761904762,0.0394855859010271,46.6880120256276,26.2728967250935,0.293561875578537
"CAR9",1003654,60,42,18,203,3.3833,0.2685,10.2778,7.0444,4.4048,3.3645,0.00652064200139549,0.384717878082334,49.3333333333333,0.070779531324725,49.7183453801101,30.2882995586616,0.302059897735574
"CS1",912342230,112,64,48,893,7.9732,0.2907,17.6042,14.7717,13.2031,9.9908,0.00403269479119797,0.447629121822975,70.4464285714286,0.0237914314662035,72.9168029131876,41.0411440665248,0.221772346906621
"CS105",912343257,96,59,37,602,6.2708,0.2758,15.2703,9.5121,9.5763,8.5565,0.00450600525609403,0.428070499328933,65.5520833333333,0.0313946759259259,61.1230958527932,35.2986563901841,0.22108857388989
"CS106",912343259,98,64,34,542,5.5306,0.2491,14.9412,11.7523,7.9375,6.5559,0.00459939143811453,0.446140969497109,61.4183673469388,0.0295422642361418,64.3005603052556,35.4164567617368,0.279112933225866
"CS107",912343261,115,62,53,889,7.7304,0.2705,15.7736,12.0394,13.4839,10.7699,0.00388745981853757,0.443170419313283,73.1565217391304,0.0230632161850979,63.1681307708306,32.5731797413395,0.237581843364392
"CS108",912343263,100,57,43,599,5.99,0.2444,12.9302,9.5678,9.7544,9.1754,0.00424766692854787,0.420519025926239,70.41,0.0299362244897959,60.0126145388467,32.6669648256389,0.23618730914549
"CS117",912343281,103,62,41,551,5.3495,0.2168,12.439,10.4189,8.2258,8.3203,0.00411378661461965,0.419606234691205,72.3398058252427,0.029647461403788,62.5753637020233,33.6331972767384,0.267550941945406
"CS118",912343283,105,61,44,603,5.7429,0.2247,12.7045,10.2108,9.1639,8.5365,0.00399101898491317,0.41506597443097,75.3714285714286,0.0292137320044297,57.3204985829432,33.4696670746453,0.260156617522345
"CS119",912343285,109,63,46,772,7.0826,0.2664,15.7826,13.4444,11.5238,9.064,0.00410024235882122,0.442826174752692,69.5229357798165,0.0249186149748446,67.9433073849196,36.8168695751793,0.245080405861773
"CS121",912343288,95,64,31,514,5.4105,0.2591,15.5806,14.0137,7.5469,6.5706,0.004803323471155,0.45151240628857,58.4526315789474,0.0309273182957393,76.6201537206892,45.5673745551726,0.254328322381252
"CS128",912343302,114,64,50,875,7.6754,0.2734,16.5,11.8291,12.8906,10.9459,0.00390178939906432,0.440902202094268,73.3771929824561,0.0237697418148546,65.3809635604038,35.7375075897596,0.237915151515152
"CS133",912343312,114,63,51,920,8.0702,0.2863,17.0392,13.7622,13.7937,10.3957,0.00395199339311675,0.446575253422193,71.8245614035088,0.0231692133559706,69.0338683204312,38.4542147731808,0.237660578340248
"CS134",912343314,87,61,26,442,5.0805,0.2787,16,10.3499,6.8197,5.8038,0.0049116066399305,0.422398171034023,60.6551724137931,0.0404367816091954,58.995787085347,37.5910874038524,0.242580436390532
"CS135",912343316,102,64,38,663,6.5,0.2726,16.4474,13.3512,9.7656,7.7023,0.00444555666422997,0.449001223087227,63.343137254902,0.027174233056586,69.4043046512841,42.4874676164173,0.2383104
"CS136",912343318,111,62,49,779,7.018,0.2564,14.898,11.3234,11.7742,9.5564,0.00397692458637471,0.437461704501218,72.1891891891892,0.0246547777285482,61.1379749653932,34.0496273484733,0.248260461625071
"CS137",912343320,102,64,38,596,5.8431,0.2451,14.6842,12.8633,8.7188,8.074,0.00430391474931345,0.434695389680659,67.4803921568627,0.0289491171844113,71.2515891042873,43.3632169550564,0.25312174817898
"CS138",912343322,108,63,45,717,6.6389,0.2529,14.9333,10.9262,10.6667,9.0429,0.00395015413757372,0.422666492720388,75.2685185185185,0.0275910991636798,59.3838429065182,31.9251281067161,0.247874149659864
"CS14",912342273,117,63,54,795,6.7949,0.2337,13.7222,9.4478,11.7619,10.8475,0.00360349138862695,0.418005001080726,83.025641025641,0.0252664762707368,55.2678981065377,28.4146881872298,0.263911881853498
"CS142",912343330,113,64,49,870,7.6991,0.2774,16.7551,13.2028,12.8281,10.3211,0.00400657405858433,0.448736294561445,70.283185840708,0.0232417942594934,70.8740060476418,40.0507992004272,0.226868988681697
"CS151",912343348,133,64,69,1245,9.3609,0.2819,17.0435,12.3865,18.375,15.0644,0.00337124969551921,0.445004959808536,84.2406015037594,0.0196640059532585,68.0812683825121,31.6592846087727,0.221716067379333
"CS159",912343423,115,64,51,726,6.313,0.2224,13.2353,13.0163,10.5469,9.6312,0.0038024146594264,0.43347527117461,76.1652173913044,0.0241794340924776,71.2185758681261,38.2216033044808,0.262479012345679
"CS174",912345468,73,53,20,394,5.3973,0.3717,18.7,9.5647,7.0566,5.4505,0.00614341429291786,0.442325829090086,47.3150684931507,0.0478897454384116,65.176085276576,45.497520767742,0.210400640567359
"CS178",912345440,112,62,50,830,7.4107,0.2677,15.6,10.212,12.5806,11.4341,0.00387380504754799,0.429992360277827,75.8928571428572,0.0253907183482292,63.2823121122311,37.7243546264452,0.236219592373439
"CS18",912342277,110,62,48,736,6.6909,0.2473,14.3333,10.6298,11.0968,10.4563,0.0039552288988655,0.43111994997634,73.5727272727273,0.0256619209182865,64.40836503151,34.4173764872544,0.226674469307734
"CS188",912345523,119,64,55,1039,8.7311,0.2952,17.8909,12.1772,15.375,13.7616,0.00379523223700934,0.447837403967102,74.6806722689076,0.0219519906728123,71.2934556448086,40.5793594235537,0.227410932645912
"CS189",912345524,127,63,64,1165,9.1732,0.2889,17.2031,11.9592,17.4762,14.8984,0.00353506324880503,0.445417969349434,80.511811023622,0.0206123428119872,68.6645253382781,37.4407988633029,0.216842751325894
"CS192",912345501,107,64,43,842,7.8692,0.306,18.5814,12.4943,12.4844,10.3479,0.0043048797334128,0.456317251741756,64.5514018691589,0.0243958434879663,72.2815627955606,45.001875060754,0.224525024240251
"CS194",912345499,103,63,40,672,6.5243,0.2667,15.8,12.1343,10.0317,8.8006,0.00429972835378311,0.438572292085877,67,0.0277088502894955,67.3162765806144,41.5260768180571,0.229936107995514
"CS195",912345503,137,64,73,1132,8.2628,0.2423,14.5068,12.3312,16.5469,15.2814,0.00320065309425442,0.435288820818601,90.2189781021898,0.0198895454369907,68.4081956156772,37.4876537358037,0.241552910838436
"CS196",912345505,99,62,37,678,6.8485,0.2956,17.3243,13.2226,10.3387,8.0956,0.00458413943491775,0.449245664621939,61.6262626262626,0.0280629611230704,69.8662762915715,45.2448792248831,0.232162110197356
"CS2",912342231,107,64,43,737,6.8879,0.2678,16.1395,13.3445,10.8438,8.5657,0.00418787552172896,0.443914805303269,67.8598130841121,0.0256461878624762,67.1405224388142,35.5921608414072,0.245849562740327
"CS201",912345513,118,64,54,1142,9.678,0.3304,20.1481,14.4802,17,12.4976,0.00394088748243668,0.461083835445092,70.0932203389831,0.020992279227009,75.3551681300199,43.3811533409117,0.215002568122837
"CS212",912345866,123,64,59,1026,8.3415,0.2717,16.3898,12.2517,15.1094,14.1434,0.00362947024377363,0.442795369740383,78.7235772357724,0.0215444929490346,71.288663211032,38.0870298892934,0.224204327074749
"CS40",912343129,99,61,38,570,5.7576,0.2459,14,11.3733,8.7213,7.385,0.00437035602446489,0.42829489039756,67.1212121212121,0.0302347802347802,62.545768742929,37.4571765620953,0.251773701170219
"CS43",912343135,93,62,31,552,5.9355,0.2872,16.8065,13.9366,8.4032,6.4768,0.00493730105349969,0.454231696921972,56.494623655914,0.0308713790469475,69.9939900286806,43.7977197195722,0.267630903216537
"CS5",912342244,81,54,27,463,5.716,0.3176,16.1481,9.4042,8.0741,6.4218,0.00532434485290701,0.425947588232561,55.9753086419753,0.0406206884194306,59.2860932255354,35.2285857690376,0.225017885699857
"CS56",912343161,108,64,44,771,7.1389,0.2738,16.5227,11.9232,11.3594,9.673,0.00412190397651887,0.44104372548752,69.5,0.0256552233296419,66.3650057226707,41.3231217250423,0.238164793227997
"CS62",912343173,105,63,42,720,6.8571,0.2721,16.1429,11.4115,10.7619,8.366,0.00423139509693022,0.440065090080743,67.5809523809524,0.026585740511783,59.873153997002,34.054919065791,0.26107064853247
"CS67",912343183,102,63,39,694,6.8039,0.2825,16.7949,12.7799,10.3968,7.9221,0.00445074902917042,0.449525651946212,63.1764705882353,0.0268151403175871,64.621805366437,36.2925836244462,0.245913408309539
"CS70",912343189,103,63,40,641,6.2233,0.2544,15.025,11.7003,9.5397,8.4869,0.00436772051830725,0.445507492867339,64.747572815534,0.026777325399311,69.7883173546576,39.4578515017385,0.241682608852134
"CS72",912343193,79,54,25,453,5.7342,0.3356,17.12,9.8248,7.9259,6.2972,0.00558445474385946,0.435587470021038,52.5443037974684,0.0413084149351166,63.0534156839483,43.2975979508694,0.211404926194427
"CS75",912343199,114,64,50,851,7.4649,0.2659,16.02,13.0673,12.5156,9.5119,0.00388469839146676,0.438970918235744,74.0087719298246,0.0239743349302963,62.9649584918852,35.4539844332545,0.251452226539548
"CS76",912343201,105,62,43,696,6.6286,0.2611,15.186,11.0932,10.5323,8.9712,0.00409547165787859,0.425929052419374,72.2285714285714,0.0281922605107617,60.2007499885461,31.5931303263786,0.235316327751056
"CS78",912343205,98,62,36,582,5.9388,0.2608,15.1667,12.4131,8.8065,7.1743,0.0045310416381827,0.439511038903722,63.2959183673469,0.0296468001720595,65.8994664464703,39.2249591041685,0.25645386359672
"CS79",912343207,110,63,47,777,7.0636,0.2624,15.5319,12.9545,11.5873,8.8493,0.00403788973332834,0.440129980932789,70.8727272727273,0.0248501848782354,63.6800657139723,33.2992930149395,0.245231750797523
"CS80",912343209,111,64,47,853,7.6847,0.2836,17.1489,13.4794,12.5938,10.2488,0.00408885441120149,0.449773985232164,68.9099099099099,0.0237784368219151,70.9131667984516,37.6393965543458,0.239735790504221
"CS81",912343211,109,64,45,820,7.5229,0.2847,17.2222,12.5134,12.1094,9.9173,0.00409037718695121,0.441760736190731,70.1284403669725,0.0252988601612455,66.6779688170574,37.4999950005636,0.219697814776275
"CS86",912343220,98,62,36,561,5.7245,0.2513,14.5833,9.4548,8.4677,8.6531,0.00432863625614342,0.419877716845912,68.9489795918367,0.0322946040242795,60.1428496415258,33.9007948388466,0.225277097505669
"CS88",912343224,98,59,39,599,6.1122,0.2603,14.359,10.1657,9.4915,8.1587,0.00441449409445887,0.428205927162511,66.5102040816327,0.0301770435942072,60.7695449931677,34.8768655160152,0.255593112244898
"CS89",912343226,109,64,45,776,7.1193,0.2694,16.2444,12.2774,11.4219,10.2737,0.00416061401812873,0.449346313957903,67.4862385321101,0.0243456848961436,73.8055366889697,41.4620305080774,0.235857407258389
"CS9",912342266,106,64,42,655,6.1792,0.2437,14.5952,13.2978,9.5781,8.332,0.00421404638449319,0.442474870371785,67.6320754716981,0.0261835367679822,71.3654612117964,41.7015920223247,0.256484702037688
"CS93",912343234,125,64,61,1162,9.296,0.2976,18.0492,15.0349,17.2031,12.2477,0.00364333897664692,0.451774033104218,77.12,0.0204021164021164,71.6491309336514,34.3920453550427,0.24078927504597
